,Manager_id,Player,FGM,FGA,FG%,FTM,FTA,FT%,3PM,REB,AST,STL,BLK,TO,PTS
7,13,Marcin Gortat,3.8,6.9,0.546,1.4,2.3,0.64,0.0,8.2,1.9,0.6,0.7,1.4,9.0
8,13,Buddy Hield,4.7,10.6,0.444,0.9,1.0,0.886,2.0,3.5,1.5,1.0,0.2,1.5,12.3
9,13,JaMychal Green,3.8,8.1,0.471,1.3,1.9,0.682,0.8,6.5,1.3,0.7,0.2,1.7,9.7
10,13,Seth Curry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,13,E'Twaun Moore,5.4,10.0,0.542,0.5,0.8,0.607,1.8,2.6,2.2,1.0,0.1,1.3,13.1
12,13,Justin Holiday,4.6,12.0,0.381,2.1,2.6,0.811,2.4,4.5,2.4,1.2,0.7,1.2,13.6
0,14,Ben Simmons,7.0,13.9,0.505,2.8,5.1,0.554,0.0,8.5,7.4,1.9,0.9,4.0,16.9
1,14,Michael Kidd-Gilchrist,4.2,8.6,0.492,1.5,2.3,0.643,0.0,4.9,1.2,0.7,0.7,0.5,9.9
2,14,Dirk Nowitzki,4.6,9.9,0.466,1.2,1.3,0.885,1.7,5.7,1.8,0.5,0.4,0.8,12.1
3,14,DeAndre Jordan,4.8,7.2,0.657,1.9,3.2,0.6,0.0,15.2,1.2,0.5,1.0,1.6,11.5
4,14,Damian Lillard,8.1,19.2,0.421,6.1,6.6,0.925,2.9,4.9,6.3,1.0,0.4,3.2,25.2
5,14,Harrison Barnes,6.9,15.3,0.451,3.4,4.1,0.819,1.3,6.6,2.1,0.6,0.2,1.7,18.4
6,14,Malcolm Brogdon,5.1,10.7,0.476,1.5,1.7,0.9,1.3,3.0,3.4,0.9,0.3,1.5,13.1
7,14,Alex Len,3.1,5.8,0.535,2.5,3.4,0.754,0.0,8.6,1.3,0.3,1.0,1.3,8.7
8,14,Jonathon Simmons,5.4,11.8,0.46,2.5,3.4,0.737,0.9,3.9,2.3,0.8,0.2,2.3,14.3
9,14,James Harden,9.5,21.2,0.451,9.1,10.5,0.867,4.1,5.0,9.1,1.8,0.5,4.4,32.3
10,14,De'Aaron Fox,3.9,9.6,0.403,1.5,2.3,0.676,0.4,2.8,3.7,0.9,0.2,2.3,9.7
11,14,Caris LeVert,4.5,10.1,0.444,2.0,2.9,0.698,1.2,3.8,4.2,1.3,0.4,2.4,12.2
12,14,Lance Stephenson,3.6,8.2,0.439,1.0,1.5,0.661,0.8,5.6,2.9,0.5,0.2,1.6,8.9
